id,date,description,amount,category_name,type,payment_method
409,2025-04-09,Uber / Lyft,23.78,Transport,expense,credit_card
410,2025-04-24,Metro / Bus Pass,58.0,Transport,expense,bank_transfer
411,2025-04-12,Car Maintenance,186.31,Transport,expense,bank_transfer
412,2025-04-06,Car Maintenance,271.95,Transport,expense,debit_card
413,2025-04-16,Parking,24.47,Transport,expense,debit_card
414,2025-04-12,Netflix,15.35,Entertainment,expense,bank_transfer
415,2025-04-14,Spotify,9.6,Entertainment,expense,debit_card
416,2025-04-17,Cinema Tickets,23.09,Entertainment,expense,credit_card
417,2025-04-21,Cinema Tickets,33.75,Entertainment,expense,upi
418,2025-04-27,Gaming / Steam,14.07,Entertainment,expense,debit_card
419,2025-04-18,Concert / Events,49.21,Entertainment,expense,bank_transfer
420,2025-04-02,Gym Membership,67.07,Health & Fitness,expense,bank_transfer
421,2025-04-11,Pharmacy,50.06,Health & Fitness,expense,debit_card
422,2025-04-18,Pharmacy,45.36,Health & Fitness,expense,debit_card
423,2025-04-18,Doctor Visit,77.2,Health & Fitness,expense,upi
424,2025-04-28,Health Insurance,115.74,Health & Fitness,expense,credit_card
425,2025-04-23,Amazon Purchase,94.31,Shopping,expense,debit_card
426,2025-04-26,Amazon Purchase,50.34,Shopping,expense,cash
427,2025-04-10,Clothing Store,87.98,Shopping,expense,bank_transfer
428,2025-04-26,Electronics,121.98,Shopping,expense,credit_card
429,2025-04-15,Electronics,311.93,Shopping,expense,upi
430,2025-04-17,Home Goods,47.79,Shopping,expense,credit_card
431,2025-04-27,Books / Stationery,38.66,Shopping,expense,cash
432,2025-04-22,Books / Stationery,24.15,Shopping,expense,credit_card
433,2025-04-11,Electricity Bill,84.94,Utilities,expense,credit_card
434,2025-04-16,Internet Bill,70.84,Utilities,expense,bank_transfer
435,2025-04-04,Water Bill,36.46,Utilities,expense,credit_card
436,2025-04-19,Mobile Phone Bill,48.61,Utilities,expense,credit_card
437,2025-05-01,Monthly Salary,4221.88,Income,income,bank_transfer
438,2025-05-03,Rent Payment,1270.67,Housing,expense,bank_transfer
439,2025-05-09,Grocery Store,114.5,Food & Dining,expense,debit_card
440,2025-05-22,Grocery Store,113.72,Food & Dining,expense,credit_card
441,2025-05-07,Grocery Store,74.22,Food & Dining,expense,credit_card
442,2025-05-23,Restaurant,49.81,Food & Dining,expense,cash
443,2025-05-11,Restaurant,44.37,Food & Dining,expense,bank_transfer
444,2025-05-13,Restaurant,33.7,Food & Dining,expense,bank_transfer
445,2025-05-11,Coffee Shop,7.68,Food & Dining,expense,credit_card
446,2025-05-28,Coffee Shop,14.65,Food & Dining,expense,debit_card
447,2025-05-02,Coffee Shop,8.13,Food & Dining,expense,credit_card
448,2025-05-22,Food Delivery,31.76,Food & Dining,expense,debit_card
449,2025-05-06,Bakery,11.91,Food & Dining,expense,debit_card
450,2025-05-04,Bakery,18.06,Food & Dining,expense,upi
451,2025-05-01,Fuel / Petrol,57.5,Transport,expense,credit_card
452,2025-05-16,Uber / Lyft,23.65,Transport,expense,bank_transfer
453,2025-05-24,Metro / Bus Pass,45.4,Transport,expense,bank_transfer
454,2025-05-27,Car Maintenance,142.28,Transport,expense,debit_card
455,2025-05-21,Parking,13.99,Transport,expense,credit_card
456,2025-05-16,Netflix,16.44,Entertainment,expense,credit_card
457,2025-05-03,Spotify,10.4,Entertainment,expense,credit_card
458,2025-05-12,Cinema Tickets,52.34,Entertainment,expense,bank_transfer
459,2025-05-05,Cinema Tickets,30.64,Entertainment,expense,bank_transfer
460,2025-05-13,Gaming / Steam,35.7,Entertainment,expense,credit_card
461,2025-05-25,Gaming / Steam,39.0,Entertainment,expense,debit_card
462,2025-05-20,Concert / Events,108.46,Entertainment,expense,credit_card
463,2025-05-10,Gym Membership,55.16,Health & Fitness,expense,credit_card
464,2025-05-02,Pharmacy,39.86,Health & Fitness,expense,credit_card
465,2025-05-26,Pharmacy,53.19,Health & Fitness,expense,debit_card
466,2025-05-19,Doctor Visit,38.82,Health & Fitness,expense,debit_card
467,2025-05-11,Doctor Visit,115.96,Health & Fitness,expense,upi
468,2025-05-27,Health Insurance,194.09,Health & Fitness,expense,debit_card
469,2025-05-25,Amazon Purchase,52.1,Shopping,expense,credit_card
470,2025-05-03,Amazon Purchase,36.88,Shopping,expense,bank_transfer
471,2025-05-10,Clothing Store,47.05,Shopping,expense,credit_card
472,2025-05-14,Clothing Store,36.87,Shopping,expense,credit_card
473,2025-05-24,Electronics,100.91,Shopping,expense,credit_card
474,2025-05-19,Electronics,91.69,Shopping,expense,credit_card
475,2025-05-05,Home Goods,30.69,Shopping,expense,credit_card
476,2025-05-20,Home Goods,81.78,Shopping,expense,debit_card
477,2025-05-16,Books / Stationery,24.99,Shopping,expense,credit_card
478,2025-05-15,Books / Stationery,13.88,Shopping,expense,credit_card
479,2025-05-08,Electricity Bill,54.08,Utilities,expense,credit_card
480,2025-05-24,Internet Bill,40.51,Utilities,expense,credit_card
481,2025-05-16,Water Bill,27.47,Utilities,expense,debit_card
482,2025-05-24,Mobile Phone Bill,53.09,Utilities,expense,upi
483,2025-06-01,Monthly Salary,4746.19,Income,income,bank_transfer
484,2025-06-28,Rent Payment,1391.88,Housing,expense,credit_card
485,2025-06-19,Grocery Store,83.18,Food & Dining,expense,credit_card
486,2025-06-10,Grocery Store,72.67,Food & Dining,expense,credit_card
487,2025-06-18,Grocery Store,110.88,Food & Dining,expense,debit_card
488,2025-06-17,Restaurant,37.43,Food & Dining,expense,credit_card
489,2025-06-14,Restaurant,68.43,Food & Dining,expense,upi
490,2025-06-10,Restaurant,64.08,Food & Dining,expense,credit_card
491,2025-06-23,Coffee Shop,9.16,Food & Dining,expense,credit_card
492,2025-06-07,Coffee Shop,13.35,Food & Dining,expense,credit_card
493,2025-06-22,Food Delivery,36.52,Food & Dining,expense,credit_card
494,2025-06-01,Food Delivery,35.37,Food & Dining,expense,debit_card
495,2025-06-19,Food Delivery,24.67,Food & Dining,expense,credit_card
496,2025-06-01,Food Delivery,33.49,Food & Dining,expense,bank_transfer
497,2025-06-12,Bakery,20.03,Food & Dining,expense,credit_card
498,2025-06-09,Bakery,9.18,Food & Dining,expense,debit_card
499,2025-06-28,Fuel / Petrol,62.45,Transport,expense,debit_card
500,2025-06-04,Uber / Lyft,29.99,Transport,expense,upi
501,2025-06-01,Metro / Bus Pass,35.69,Transport,expense,credit_card
502,2025-06-22,Car Maintenance,164.11,Transport,expense,credit_card
503,2025-06-19,Car Maintenance,262.49,Transport,expense,credit_card
504,2025-06-08,Parking,17.34,Transport,expense,debit_card
505,2025-06-04,Netflix,14.5,Entertainment,expense,credit_card
506,2025-06-19,Spotify,9.59,Entertainment,expense,debit_card
507,2025-06-07,Cinema Tickets,31.0,Entertainment,expense,upi
508,2025-06-20,Cinema Tickets,36.8,Entertainment,expense,debit_card
509,2025-06-20,Gaming / Steam,52.23,Entertainment,expense,credit_card
510,2025-06-24,Gaming / Steam,26.23,Entertainment,expense,credit_card
511,2025-06-19,Concert / Events,156.18,Entertainment,expense,credit_card
512,2025-06-07,Concert / Events,81.66,Entertainment,expense,debit_card
513,2025-06-03,Gym Membership,43.06,Health & Fitness,expense,bank_transfer
514,2025-06-03,Pharmacy,16.37,Health & Fitness,expense,bank_transfer
515,2025-06-02,Doctor Visit,57.84,Health & Fitness,expense,credit_card
516,2025-06-24,Health Insurance,149.3,Health & Fitness,expense,cash
517,2025-06-24,Amazon Purchase,117.94,Shopping,expense,debit_card
518,2025-06-18,Clothing Store,138.15,Shopping,expense,bank_transfer
519,2025-06-14,Electronics,385.33,Shopping,expense,upi
520,2025-06-17,Electronics,380.22,Shopping,expense,credit_card
521,2025-06-14,Home Goods,93.35,Shopping,expense,credit_card
522,2025-06-22,Books / Stationery,16.86,Shopping,expense,credit_card
523,2025-06-24,Electricity Bill,54.65,Utilities,expense,credit_card
524,2025-06-12,Internet Bill,62.33,Utilities,expense,credit_card
525,2025-06-13,Water Bill,37.77,Utilities,expense,cash
526,2025-06-16,Mobile Phone Bill,43.26,Utilities,expense,bank_transfer
527,2025-07-01,Monthly Salary,4612.2,Income,income,bank_transfer
528,2025-07-16,Freelance Income,833.29,Income,income,bank_transfer
529,2025-07-12,Rent Payment,1423.47,Housing,expense,bank_transfer
530,2025-07-25,Grocery Store,70.83,Food & Dining,expense,credit_card
531,2025-07-05,Restaurant,52.0,Food & Dining,expense,upi
532,2025-07-08,Restaurant,20.72,Food & Dining,expense,credit_card
533,2025-07-20,Restaurant,22.36,Food & Dining,expense,credit_card
534,2025-07-02,Coffee Shop,15.66,Food & Dining,expense,upi
535,2025-07-11,Coffee Shop,9.92,Food & Dining,expense,bank_transfer
536,2025-07-04,Coffee Shop,7.85,Food & Dining,expense,bank_transfer
537,2025-07-15,Coffee Shop,6.16,Food & Dining,expense,upi
538,2025-07-03,Coffee Shop,15.49,Food & Dining,expense,credit_card
539,2025-07-10,Food Delivery,48.89,Food & Dining,expense,credit_card
540,2025-07-01,Food Delivery,44.53,Food & Dining,expense,upi
541,2025-07-03,Food Delivery,48.9,Food & Dining,expense,credit_card
542,2025-07-06,Food Delivery,27.11,Food & Dining,expense,bank_transfer
543,2025-07-07,Bakery,19.16,Food & Dining,expense,upi
544,2025-07-28,Bakery,15.81,Food & Dining,expense,cash
545,2025-07-13,Bakery,13.91,Food & Dining,expense,credit_card
546,2025-07-24,Bakery,12.44,Food & Dining,expense,credit_card
547,2025-07-03,Fuel / Petrol,60.53,Transport,expense,credit_card
548,2025-07-12,Fuel / Petrol,70.21,Transport,expense,debit_card
549,2025-07-07,Uber / Lyft,16.15,Transport,expense,cash
550,2025-07-18,Uber / Lyft,15.77,Transport,expense,bank_transfer
551,2025-07-27,Metro / Bus Pass,43.92,Transport,expense,upi
552,2025-07-06,Car Maintenance,264.55,Transport,expense,credit_card
553,2025-07-13,Parking,20.86,Transport,expense,bank_transfer
554,2025-07-05,Netflix,15.66,Entertainment,expense,debit_card
555,2025-07-16,Spotify,10.94,Entertainment,expense,debit_card
556,2025-07-24,Cinema Tickets,26.62,Entertainment,expense,debit_card
557,2025-07-16,Cinema Tickets,32.76,Entertainment,expense,cash
558,2025-07-25,Gaming / Steam,59.63,Entertainment,expense,upi
559,2025-07-09,Concert / Events,50.6,Entertainment,expense,credit_card
560,2025-07-28,Gym Membership,59.6,Health & Fitness,expense,debit_card
561,2025-07-14,Pharmacy,22.0,Health & Fitness,expense,credit_card
562,2025-07-19,Doctor Visit,93.73,Health & Fitness,expense,bank_transfer
563,2025-07-19,Doctor Visit,100.16,Health & Fitness,expense,debit_card
564,2025-07-28,Health Insurance,117.28,Health & Fitness,expense,credit_card
565,2025-07-03,Amazon Purchase,63.58,Shopping,expense,credit_card
566,2025-07-28,Clothing Store,30.17,Shopping,expense,bank_transfer
567,2025-07-17,Clothing Store,48.63,Shopping,expense,debit_card
568,2025-07-23,Electronics,350.19,Shopping,expense,credit_card
569,2025-07-24,Home Goods,93.7,Shopping,expense,credit_card
570,2025-07-22,Books / Stationery,18.57,Shopping,expense,credit_card
571,2025-07-27,Electricity Bill,62.76,Utilities,expense,debit_card
572,2025-07-13,Internet Bill,47.76,Utilities,expense,credit_card
573,2025-07-11,Water Bill,24.82,Utilities,expense,debit_card
574,2025-07-03,Mobile Phone Bill,30.92,Utilities,expense,upi
575,2025-08-01,Monthly Salary,4497.87,Income,income,bank_transfer
576,2025-08-21,Rent Payment,1636.87,Housing,expense,debit_card
577,2025-08-18,Grocery Store,114.91,Food & Dining,expense,debit_card
578,2025-08-24,Grocery Store,68.8,Food & Dining,expense,debit_card
579,2025-08-22,Grocery Store,76.8,Food & Dining,expense,debit_card
580,2025-08-12,Restaurant,32.15,Food & Dining,expense,credit_card
581,2025-08-23,Restaurant,35.38,Food & Dining,expense,credit_card
582,2025-08-26,Coffee Shop,12.38,Food & Dining,expense,credit_card
583,2025-08-16,Coffee Shop,8.95,Food & Dining,expense,debit_card
584,2025-08-27,Coffee Shop,10.56,Food & Dining,expense,upi
585,2025-08-02,Food Delivery,51.67,Food & Dining,expense,upi
586,2025-08-10,Food Delivery,31.65,Food & Dining,expense,credit_card
587,2025-08-15,Bakery,19.14,Food & Dining,expense,upi
588,2025-08-27,Bakery,17.1,Food & Dining,expense,bank_transfer
589,2025-08-08,Fuel / Petrol,79.02,Transport,expense,bank_transfer
590,2025-08-23,Uber / Lyft,11.89,Transport,expense,cash
591,2025-08-12,Metro / Bus Pass,54.74,Transport,expense,debit_card
592,2025-08-19,Car Maintenance,283.38,Transport,expense,credit_card
593,2025-08-26,Parking,25.84,Transport,expense,debit_card
594,2025-08-26,Parking,19.24,Transport,expense,debit_card
595,2025-08-05,Netflix,15.63,Entertainment,expense,credit_card
596,2025-08-04,Spotify,9.1,Entertainment,expense,debit_card
597,2025-08-27,Cinema Tickets,29.03,Entertainment,expense,credit_card
598,2025-08-26,Gaming / Steam,46.98,Entertainment,expense,bank_transfer
599,2025-08-19,Concert / Events,83.19,Entertainment,expense,debit_card
600,2025-08-10,Concert / Events,117.87,Entertainment,expense,bank_transfer
601,2025-08-22,Gym Membership,61.03,Health & Fitness,expense,credit_card
602,2025-08-17,Pharmacy,21.99,Health & Fitness,expense,credit_card
603,2025-08-26,Pharmacy,23.95,Health & Fitness,expense,credit_card
604,2025-08-15,Doctor Visit,112.63,Health & Fitness,expense,bank_transfer
605,2025-08-20,Doctor Visit,77.19,Health & Fitness,expense,debit_card
606,2025-08-19,Health Insurance,193.2,Health & Fitness,expense,debit_card
607,2025-08-03,Amazon Purchase,50.31,Shopping,expense,credit_card
608,2025-08-01,Amazon Purchase,28.06,Shopping,expense,cash
609,2025-08-15,Clothing Store,84.5,Shopping,expense,upi
610,2025-08-04,Clothing Store,123.05,Shopping,expense,debit_card
611,2025-08-14,Electronics,79.18,Shopping,expense,debit_card
612,2025-08-14,Electronics,287.92,Shopping,expense,debit_card
613,2025-08-06,Home Goods,29.02,Shopping,expense,credit_card
614,2025-08-27,Home Goods,106.83,Shopping,expense,debit_card
615,2025-08-02,Books / Stationery,23.07,Shopping,expense,credit_card
616,2025-08-10,Books / Stationery,39.05,Shopping,expense,upi
617,2025-08-01,Electricity Bill,52.74,Utilities,expense,debit_card
618,2025-08-03,Internet Bill,64.28,Utilities,expense,credit_card
619,2025-08-13,Water Bill,28.52,Utilities,expense,bank_transfer
620,2025-08-28,Mobile Phone Bill,51.81,Utilities,expense,debit_card
621,2025-09-01,Monthly Salary,4359.77,Income,income,bank_transfer
622,2025-09-04,Rent Payment,1435.89,Housing,expense,bank_transfer
623,2025-09-15,Grocery Store,122.01,Food & Dining,expense,debit_card
624,2025-09-13,Grocery Store,103.43,Food & Dining,expense,debit_card
625,2025-09-04,Grocery Store,71.86,Food & Dining,expense,cash
626,2025-09-10,Grocery Store,124.59,Food & Dining,expense,cash
627,2025-09-20,Grocery Store,102.4,Food & Dining,expense,bank_transfer
628,2025-09-04,Restaurant,53.55,Food & Dining,expense,cash
629,2025-09-20,Restaurant,70.65,Food & Dining,expense,upi
630,2025-09-14,Restaurant,43.49,Food & Dining,expense,debit_card
631,2025-09-05,Restaurant,34.28,Food & Dining,expense,credit_card
632,2025-09-06,Coffee Shop,15.07,Food & Dining,expense,credit_card
633,2025-09-18,Coffee Shop,13.38,Food & Dining,expense,bank_transfer
634,2025-09-18,Coffee Shop,13.23,Food & Dining,expense,credit_card
635,2025-09-27,Food Delivery,49.48,Food & Dining,expense,credit_card
636,2025-09-23,Food Delivery,24.57,Food & Dining,expense,upi
637,2025-09-19,Food Delivery,50.02,Food & Dining,expense,cash
638,2025-09-26,Bakery,13.29,Food & Dining,expense,cash
639,2025-09-06,Bakery,12.14,Food & Dining,expense,credit_card
640,2025-09-12,Fuel / Petrol,69.66,Transport,expense,credit_card
641,2025-09-26,Uber / Lyft,15.88,Transport,expense,cash
642,2025-09-09,Uber / Lyft,21.79,Transport,expense,upi
643,2025-09-19,Metro / Bus Pass,48.07,Transport,expense,debit_card
644,2025-09-08,Car Maintenance,128.22,Transport,expense,debit_card
645,2025-09-23,Parking,13.21,Transport,expense,upi
646,2025-09-17,Parking,25.24,Transport,expense,credit_card
647,2025-09-05,Netflix,16.18,Entertainment,expense,debit_card
648,2025-09-02,Spotify,10.7,Entertainment,expense,credit_card
649,2025-09-05,Cinema Tickets,35.22,Entertainment,expense,debit_card
650,2025-09-19,Cinema Tickets,35.39,Entertainment,expense,upi
651,2025-09-07,Gaming / Steam,59.49,Entertainment,expense,debit_card
652,2025-09-01,Gaming / Steam,43.08,Entertainment,expense,credit_card
653,2025-09-24,Concert / Events,52.34,Entertainment,expense,debit_card
654,2025-09-07,Concert / Events,103.31,Entertainment,expense,debit_card
655,2025-09-16,Gym Membership,61.03,Health & Fitness,expense,credit_card
656,2025-09-11,Pharmacy,33.95,Health & Fitness,expense,bank_transfer
657,2025-09-06,Pharmacy,44.42,Health & Fitness,expense,cash
658,2025-09-05,Doctor Visit,61.22,Health & Fitness,expense,bank_transfer
659,2025-09-01,Doctor Visit,59.31,Health & Fitness,expense,upi
660,2025-09-28,Health Insurance,198.59,Health & Fitness,expense,credit_card
661,2025-09-24,Amazon Purchase,17.55,Shopping,expense,credit_card
662,2025-09-19,Clothing Store,43.1,Shopping,expense,debit_card
663,2025-09-28,Clothing Store,46.05,Shopping,expense,credit_card
664,2025-09-01,Electronics,127.12,Shopping,expense,upi
665,2025-09-18,Home Goods,44.5,Shopping,expense,bank_transfer
666,2025-09-10,Books / Stationery,39.84,Shopping,expense,credit_card
667,2025-09-05,Electricity Bill,94.69,Utilities,expense,upi
668,2025-09-20,Internet Bill,61.3,Utilities,expense,debit_card
669,2025-09-18,Water Bill,34.33,Utilities,expense,credit_card
670,2025-09-18,Mobile Phone Bill,56.02,Utilities,expense,bank_transfer
671,2025-10-01,Monthly Salary,4831.68,Income,income,bank_transfer
672,2025-10-05,Rent Payment,1451.32,Housing,expense,credit_card
673,2025-10-09,Grocery Store,105.27,Food & Dining,expense,credit_card
674,2025-10-09,Grocery Store,76.92,Food & Dining,expense,cash
675,2025-10-24,Restaurant,83.43,Food & Dining,expense,bank_transfer
676,2025-10-27,Coffee Shop,7.75,Food & Dining,expense,upi
677,2025-10-02,Coffee Shop,11.08,Food & Dining,expense,cash
678,2025-10-05,Coffee Shop,9.6,Food & Dining,expense,credit_card
679,2025-10-22,Coffee Shop,4.8,Food & Dining,expense,credit_card
680,2025-10-23,Food Delivery,31.32,Food & Dining,expense,upi
681,2025-10-23,Bakery,16.59,Food & Dining,expense,debit_card
682,2025-10-01,Fuel / Petrol,58.57,Transport,expense,debit_card
683,2025-10-24,Fuel / Petrol,74.23,Transport,expense,credit_card
684,2025-10-16,Uber / Lyft,14.29,Transport,expense,credit_card
685,2025-10-07,Metro / Bus Pass,27.79,Transport,expense,credit_card
686,2025-10-19,Car Maintenance,86.08,Transport,expense,credit_card
687,2025-10-12,Car Maintenance,127.83,Transport,expense,bank_transfer
688,2025-10-14,Parking,4.92,Transport,expense,upi
689,2025-10-19,Parking,18.22,Transport,expense,upi
690,2025-10-16,Netflix,16.66,Entertainment,expense,credit_card
691,2025-10-15,Spotify,10.99,Entertainment,expense,upi
692,2025-10-03,Cinema Tickets,45.65,Entertainment,expense,debit_card
693,2025-10-10,Gaming / Steam,12.83,Entertainment,expense,credit_card
694,2025-10-10,Gaming / Steam,16.12,Entertainment,expense,upi
695,2025-10-03,Concert / Events,93.73,Entertainment,expense,bank_transfer
696,2025-10-23,Concert / Events,107.88,Entertainment,expense,credit_card
697,2025-10-03,Gym Membership,55.92,Health & Fitness,expense,credit_card
698,2025-10-03,Pharmacy,31.58,Health & Fitness,expense,upi
699,2025-10-20,Doctor Visit,120.25,Health & Fitness,expense,credit_card
700,2025-10-07,Doctor Visit,105.12,Health & Fitness,expense,debit_card
701,2025-10-06,Health Insurance,139.49,Health & Fitness,expense,debit_card
702,2025-10-16,Amazon Purchase,84.84,Shopping,expense,credit_card
703,2025-10-05,Clothing Store,111.37,Shopping,expense,upi
704,2025-10-27,Clothing Store,67.01,Shopping,expense,bank_transfer
705,2025-10-26,Electronics,290.81,Shopping,expense,credit_card
706,2025-10-23,Electronics,375.8,Shopping,expense,debit_card
707,2025-10-21,Home Goods,39.17,Shopping,expense,credit_card
708,2025-10-13,Books / Stationery,22.45,Shopping,expense,credit_card
709,2025-10-02,Books / Stationery,25.96,Shopping,expense,upi
710,2025-10-13,Electricity Bill,61.76,Utilities,expense,credit_card
711,2025-10-12,Internet Bill,55.16,Utilities,expense,bank_transfer
712,2025-10-09,Water Bill,32.1,Utilities,expense,debit_card
713,2025-10-12,Mobile Phone Bill,35.35,Utilities,expense,debit_card
714,2025-11-01,Monthly Salary,4502.95,Income,income,bank_transfer
715,2025-11-26,Rent Payment,1549.59,Housing,expense,credit_card
716,2025-11-23,Grocery Store,97.1,Food & Dining,expense,debit_card
717,2025-11-26,Grocery Store,84.99,Food & Dining,expense,bank_transfer
718,2025-11-06,Grocery Store,69.22,Food & Dining,expense,credit_card
719,2025-11-23,Grocery Store,63.17,Food & Dining,expense,credit_card
720,2025-11-28,Grocery Store,84.47,Food & Dining,expense,bank_transfer
721,2025-11-10,Restaurant,56.96,Food & Dining,expense,debit_card
722,2025-11-17,Restaurant,19.89,Food & Dining,expense,credit_card
723,2025-11-02,Restaurant,69.65,Food & Dining,expense,credit_card
724,2025-11-18,Coffee Shop,6.14,Food & Dining,expense,credit_card
725,2025-11-13,Coffee Shop,9.12,Food & Dining,expense,debit_card
726,2025-11-18,Coffee Shop,8.5,Food & Dining,expense,upi
727,2025-11-20,Coffee Shop,9.52,Food & Dining,expense,debit_card
728,2025-11-15,Coffee Shop,11.36,Food & Dining,expense,cash
729,2025-11-18,Food Delivery,47.57,Food & Dining,expense,credit_card
730,2025-11-19,Food Delivery,41.05,Food & Dining,expense,credit_card
731,2025-11-12,Bakery,19.08,Food & Dining,expense,credit_card
732,2025-11-02,Bakery,20.74,Food & Dining,expense,credit_card
733,2025-11-23,Fuel / Petrol,49.15,Transport,expense,upi
734,2025-11-19,Fuel / Petrol,67.42,Transport,expense,credit_card
735,2025-11-26,Uber / Lyft,32.0,Transport,expense,bank_transfer
736,2025-11-19,Metro / Bus Pass,53.55,Transport,expense,debit_card
737,2025-11-09,Car Maintenance,192.06,Transport,expense,credit_card
738,2025-11-13,Car Maintenance,214.69,Transport,expense,credit_card
739,2025-11-18,Parking,11.44,Transport,expense,credit_card
740,2025-11-07,Netflix,16.84,Entertainment,expense,credit_card
741,2025-11-23,Spotify,9.49,Entertainment,expense,debit_card
742,2025-11-09,Cinema Tickets,34.31,Entertainment,expense,cash
743,2025-11-03,Gaming / Steam,31.19,Entertainment,expense,bank_transfer
744,2025-11-18,Concert / Events,51.27,Entertainment,expense,credit_card
745,2025-11-28,Concert / Events,50.37,Entertainment,expense,credit_card
746,2025-11-06,Gym Membership,70.32,Health & Fitness,expense,debit_card
747,2025-11-06,Pharmacy,32.14,Health & Fitness,expense,credit_card
748,2025-11-09,Doctor Visit,105.24,Health & Fitness,expense,debit_card
749,2025-11-21,Health Insurance,183.99,Health & Fitness,expense,debit_card
750,2025-11-07,Amazon Purchase,106.12,Shopping,expense,bank_transfer
751,2025-11-28,Amazon Purchase,29.1,Shopping,expense,upi
752,2025-11-06,Clothing Store,158.07,Shopping,expense,credit_card
753,2025-11-23,Electronics,290.87,Shopping,expense,debit_card
754,2025-11-07,Electronics,313.44,Shopping,expense,upi
755,2025-11-08,Home Goods,89.58,Shopping,expense,debit_card
756,2025-11-25,Home Goods,91.68,Shopping,expense,debit_card
757,2025-11-24,Books / Stationery,33.72,Shopping,expense,credit_card
758,2025-11-18,Electricity Bill,54.79,Utilities,expense,credit_card
759,2025-11-15,Internet Bill,53.99,Utilities,expense,debit_card
760,2025-11-02,Water Bill,31.9,Utilities,expense,credit_card
761,2025-11-07,Mobile Phone Bill,32.6,Utilities,expense,upi
762,2025-12-01,Monthly Salary,4351.08,Income,income,bank_transfer
763,2025-12-17,Freelance Income,1164.63,Income,income,bank_transfer
764,2025-12-09,Rent Payment,1666.28,Housing,expense,credit_card
765,2025-12-22,Grocery Store,81.03,Food & Dining,expense,credit_card
766,2025-12-18,Grocery Store,97.53,Food & Dining,expense,credit_card
767,2025-12-24,Grocery Store,111.9,Food & Dining,expense,credit_card
768,2025-12-28,Grocery Store,89.76,Food & Dining,expense,upi
769,2025-12-22,Restaurant,30.68,Food & Dining,expense,credit_card
770,2025-12-11,Coffee Shop,8.88,Food & Dining,expense,credit_card
771,2025-12-24,Coffee Shop,11.92,Food & Dining,expense,debit_card
772,2025-12-09,Coffee Shop,9.08,Food & Dining,expense,cash
773,2025-12-26,Coffee Shop,11.29,Food & Dining,expense,credit_card
774,2025-12-04,Coffee Shop,9.15,Food & Dining,expense,upi
775,2025-12-24,Food Delivery,53.94,Food & Dining,expense,credit_card
776,2025-12-18,Food Delivery,40.99,Food & Dining,expense,debit_card
777,2025-12-22,Bakery,10.58,Food & Dining,expense,credit_card
778,2025-12-23,Bakery,8.45,Food & Dining,expense,debit_card
779,2025-12-20,Bakery,18.77,Food & Dining,expense,credit_card
780,2025-12-06,Fuel / Petrol,45.94,Transport,expense,debit_card
781,2025-12-26,Fuel / Petrol,64.91,Transport,expense,debit_card
782,2025-12-12,Uber / Lyft,31.95,Transport,expense,bank_transfer
783,2025-12-10,Metro / Bus Pass,51.54,Transport,expense,credit_card
784,2025-12-01,Car Maintenance,140.82,Transport,expense,debit_card
785,2025-12-11,Car Maintenance,187.71,Transport,expense,debit_card
786,2025-12-05,Parking,17.67,Transport,expense,credit_card
787,2025-12-08,Netflix,17.36,Entertainment,expense,upi
788,2025-12-17,Spotify,9.8,Entertainment,expense,credit_card
789,2025-12-27,Cinema Tickets,35.63,Entertainment,expense,upi
790,2025-12-28,Gaming / Steam,11.78,Entertainment,expense,debit_card
791,2025-12-20,Gaming / Steam,34.52,Entertainment,expense,credit_card
792,2025-12-23,Concert / Events,103.76,Entertainment,expense,bank_transfer
793,2025-12-12,Gym Membership,60.27,Health & Fitness,expense,bank_transfer
794,2025-12-26,Pharmacy,30.76,Health & Fitness,expense,credit_card
795,2025-12-21,Pharmacy,20.08,Health & Fitness,expense,upi
796,2025-12-12,Doctor Visit,101.7,Health & Fitness,expense,debit_card
797,2025-12-10,Doctor Visit,98.25,Health & Fitness,expense,upi
798,2025-12-20,Health Insurance,132.51,Health & Fitness,expense,bank_transfer
799,2025-12-17,Amazon Purchase,52.83,Shopping,expense,upi
800,2025-12-04,Amazon Purchase,107.91,Shopping,expense,debit_card
801,2025-12-04,Clothing Store,111.77,Shopping,expense,bank_transfer
802,2025-12-24,Clothing Store,92.66,Shopping,expense,credit_card
803,2025-12-06,Electronics,156.85,Shopping,expense,debit_card
804,2025-12-10,Electronics,91.83,Shopping,expense,upi
805,2025-12-09,Home Goods,72.67,Shopping,expense,debit_card
806,2025-12-03,Books / Stationery,29.2,Shopping,expense,bank_transfer
807,2025-12-21,Electricity Bill,82.33,Utilities,expense,credit_card
808,2025-12-22,Internet Bill,55.87,Utilities,expense,bank_transfer
809,2025-12-24,Water Bill,23.97,Utilities,expense,credit_card
810,2025-12-26,Mobile Phone Bill,37.38,Utilities,expense,debit_card
811,2026-01-01,Monthly Salary,4223.31,Income,income,bank_transfer
812,2026-01-12,Freelance Income,850.64,Income,income,bank_transfer
813,2026-01-28,Rent Payment,1677.01,Housing,expense,upi
814,2026-01-21,Grocery Store,76.77,Food & Dining,expense,upi
815,2026-01-25,Grocery Store,129.1,Food & Dining,expense,upi
816,2026-01-12,Grocery Store,121.83,Food & Dining,expense,cash
817,2026-01-13,Grocery Store,110.15,Food & Dining,expense,credit_card
