id,age,income,employment_length,credit_score,dti_ratio,home_ownership
672,70,43975,29,746,22.6,MORTGAGE
673,27,27029,8,582,32.5,OWN
674,32,28347,26,799,18.2,RENT
675,62,26528,5,689,8.6,RENT
676,63,69081,22,732,23.6,MORTGAGE
677,42,115943,26,670,24.0,OWN
678,23,42749,30,727,34.8,MORTGAGE
679,49,47658,19,697,17.4,OTHER
680,51,47134,29,526,27.4,RENT
681,30,123502,12,664,15.8,RENT
682,38,63112,9,637,23.0,RENT
683,47,65957,22,501,15.9,MORTGAGE
684,44,74411,29,647,45.7,OTHER
685,30,87028,11,650,34.5,MORTGAGE
686,67,45043,10,714,16.6,RENT
687,49,26505,29,755,17.8,MORTGAGE
688,31,237936,24,563,1,MORTGAGE
689,67,90637,5,721,17.1,MORTGAGE
690,68,44072,3,587,25.4,RENT
691,59,30399,21,731,30.3,RENT
692,23,54319,10,639,16.0,RENT
693,67,64160,26,701,16.1,OTHER
694,68,19528,10,557,43.8,MORTGAGE
695,26,130011,23,646,9.0,RENT
696,46,91108,5,829,23.5,MORTGAGE
697,65,17604,28,662,14.5,RENT
698,49,69958,19,625,30.8,RENT
699,36,48403,21,438,12.5,MORTGAGE
700,52,56403,25,644,13.0,MORTGAGE
701,24,41600,29,576,10.1,OWN
702,54,91419,24,606,38.3,OWN
703,68,40380,18,734,7.7,MORTGAGE
704,38,65893,19,688,25.3,OWN
705,64,60470,27,543,35.3,OWN
706,22,44282,4,692,28.7,MORTGAGE
707,62,72705,26,720,29.8,RENT
708,50,69460,22,706,33.0,MORTGAGE
709,28,47110,0,694,11.2,OTHER
710,53,54130,12,704,6.0,MORTGAGE
711,39,66506,2,610,30.1,OWN
712,68,49167,9,674,25.3,RENT
713,51,30478,21,541,27.7,MORTGAGE
714,32,83703,27,615,16.1,MORTGAGE
715,53,56589,30,520,19.7,RENT
716,54,119086,28,771,25.6,OWN
717,24,52318,24,837,23.6,MORTGAGE
718,70,42671,14,766,25.6,MORTGAGE
719,45,67329,6,702,26.6,OWN
720,29,37789,4,631,28.2,OWN
721,45,73008,8,667,19.8,MORTGAGE
722,48,41561,13,691,40.6,OTHER
723,55,73326,22,535,25.9,RENT
724,58,29581,28,611,35.2,MORTGAGE
725,68,30452,9,631,21.0,RENT
726,56,32296,6,649,12.1,OWN
727,24,19565,2,709,12.3,MORTGAGE
728,43,76790,16,775,22.3,RENT
729,29,88817,16,648,19.8,RENT
730,69,44507,18,771,31.1,RENT
731,40,40035,9,716,12.8,MORTGAGE
732,45,78441,6,765,16.6,OWN
733,45,69811,2,722,17.5,MORTGAGE
734,53,69509,29,594,20.8,RENT
735,29,48064,16,785,18.2,RENT
736,29,105228,3,809,16.4,OWN
737,59,58580,4,521,1.3,RENT
738,24,54625,2,793,10.7,MORTGAGE
739,54,43007,4,704,10.9,MORTGAGE
740,36,33073,12,590,29.4,RENT
741,67,59675,20,690,16.8,MORTGAGE
742,34,15456,16,690,22.0,RENT
743,59,133885,26,726,5.0,MORTGAGE
744,23,58574,13,775,27.6,RENT
745,31,73283,2,722,18.4,RENT
746,42,71686,13,619,20.8,MORTGAGE
747,46,98115,16,689,29.5,RENT
748,39,23776,0,546,9.5,RENT
749,54,60824,20,648,29.6,RENT
750,22,46489,1,791,31.8,MORTGAGE
751,62,115241,11,679,26.4,RENT
752,30,81933,26,797,16.3,MORTGAGE
753,70,35705,8,645,19.9,MORTGAGE
754,63,143736,4,585,34.1,RENT
755,56,31353,12,645,39.9,MORTGAGE
756,46,59080,26,636,26.4,RENT
757,70,61129,0,620,17.6,RENT
758,45,37878,15,666,33.3,MORTGAGE
759,53,70173,16,735,25.1,MORTGAGE
760,36,63201,18,744,33.8,RENT
761,51,32935,28,577,32.6,MORTGAGE
762,55,53513,21,751,12.7,MORTGAGE
763,27,85485,10,643,35.2,OTHER
764,41,45937,10,731,34.9,RENT
765,28,37043,7,838,1,MORTGAGE
766,28,27280,24,700,12.7,RENT
767,25,46635,4,699,31.4,RENT
768,28,74140,12,845,14.4,MORTGAGE
769,63,33663,10,771,38.2,OWN
770,34,48762,25,652,26.3,OWN
771,25,69590,1,699,31.2,OWN
772,43,84645,19,741,15.2,OWN
773,34,50962,11,651,36.1,RENT
774,43,32074,22,643,29.7,RENT
775,36,25048,15,820,34.5,MORTGAGE
776,69,21765,25,699,14.8,MORTGAGE
777,34,49346,14,633,7.0,RENT
778,57,32038,10,787,22.2,RENT
779,29,94260,28,765,18.4,OWN
780,49,46591,19,521,24.7,RENT
781,62,35920,13,653,22.1,MORTGAGE
782,39,62699,25,666,35.6,OTHER
783,54,27779,5,711,6.2,MORTGAGE
784,67,29922,15,654,32.9,MORTGAGE
785,35,140656,12,732,14.8,MORTGAGE
786,36,71191,11,764,12.3,MORTGAGE
787,23,35908,12,706,25.1,MORTGAGE
788,39,51140,25,551,26.1,RENT
789,65,78672,26,643,25.7,MORTGAGE
790,41,48819,24,612,20.2,OTHER
791,31,60168,24,573,26.8,MORTGAGE
792,51,45136,26,584,19.7,MORTGAGE
793,45,78270,0,516,35.1,RENT
794,70,84150,21,629,7.7,OWN
795,43,47300,30,725,5.7,MORTGAGE
796,52,80195,6,593,32.1,OWN
797,53,125583,19,753,28.6,MORTGAGE
798,55,49807,11,582,30.9,MORTGAGE
799,35,81172,12,550,26.6,OWN
800,51,39788,21,589,21.8,RENT
801,53,45360,28,484,9.3,MORTGAGE
802,61,25834,12,767,30.7,OWN
803,58,88101,22,581,34.8,RENT
804,68,46122,23,663,39.9,OWN
805,48,91461,10,801,14.7,OWN
806,47,33194,23,679,28.2,RENT
807,27,30461,2,679,14.9,OTHER
808,33,58914,3,688,18.6,RENT
809,67,79767,6,728,36.6,RENT
810,46,28959,3,610,18.0,MORTGAGE
811,27,161801,6,680,24.4,RENT
812,64,29680,26,798,25.0,OWN
813,47,74337,17,702,26.7,RENT
814,36,85313,14,643,38.8,MORTGAGE
815,67,102816,3,641,1,MORTGAGE
816,66,49516,21,818,26.2,MORTGAGE
817,50,97654,18,617,11.4,RENT
818,37,26597,9,537,20.7,MORTGAGE
819,37,71368,1,715,34.0,MORTGAGE
820,63,29577,13,687,28.4,RENT
821,65,35977,7,790,19.7,MORTGAGE
822,34,68166,30,776,51.4,MORTGAGE
823,27,39161,16,697,12.0,RENT
824,62,100632,30,641,28.0,OWN
825,70,74611,13,570,35.8,OWN
826,57,39408,4,786,20.9,OWN
827,34,60985,15,723,25.7,RENT
828,45,31751,23,850,15.6,OTHER
829,34,122686,5,828,24.0,MORTGAGE
830,49,61513,12,659,21.3,RENT
831,51,42442,19,654,27.3,RENT
832,46,62774,22,709,11.4,MORTGAGE
833,54,38760,9,713,36.4,RENT
834,58,43756,20,674,23.5,RENT
835,22,54843,15,734,36.1,OWN
836,34,72216,4,705,10.2,RENT
837,38,21805,6,679,42.1,OWN
838,43,61841,2,719,29.2,OWN
839,28,55825,1,798,26.3,RENT
840,49,58352,19,529,14.2,RENT
841,43,61007,11,657,22.3,MORTGAGE
842,39,56451,16,725,37.9,RENT
843,62,50577,0,548,39.7,RENT
844,47,39029,15,651,20.8,RENT
845,34,72465,19,751,17.2,MORTGAGE
846,51,110093,17,637,27.4,RENT
847,49,41506,3,811,24.4,MORTGAGE
848,64,26197,30,654,25.9,OWN
849,60,103374,29,699,30.4,MORTGAGE
850,38,26522,7,781,25.2,RENT
851,46,48274,10,637,21.5,RENT
852,30,83419,21,643,8.5,RENT
853,36,139241,26,812,11.0,MORTGAGE
854,54,28380,9,644,27.1,OTHER
855,43,190813,1,619,31.1,MORTGAGE
856,47,20484,23,708,16.4,MORTGAGE
857,70,70627,11,589,19.0,MORTGAGE
858,70,50654,10,641,27.1,RENT
859,31,66497,28,583,26.5,RENT
860,46,15000,4,562,32.0,MORTGAGE
861,43,85271,20,850,1,MORTGAGE
862,33,57210,30,542,16.4,MORTGAGE
863,45,87320,14,586,27.0,RENT
864,28,45423,23,615,23.7,OWN
865,56,82880,25,850,29.3,RENT
866,56,56580,18,571,18.0,RENT
867,50,45085,17,633,23.6,RENT
868,54,48665,3,694,14.2,RENT
869,56,48704,21,523,9.7,MORTGAGE
870,24,51496,21,542,22.5,RENT
871,61,43487,23,619,10.9,RENT
872,56,18722,4,584,26.0,RENT
873,31,29270,13,732,14.9,RENT
874,62,33940,10,642,40.6,MORTGAGE
875,46,121148,7,850,38.7,RENT
876,66,43916,11,694,14.7,RENT
877,69,39512,25,680,14.3,MORTGAGE
878,30,26147,21,624,30.1,RENT
879,44,71100,14,593,25.5,RENT
880,27,36584,27,710,31.7,RENT
881,27,48923,1,730,21.5,OWN
882,54,48458,15,724,16.0,OWN
883,66,51392,13,685,13.0,OTHER
884,70,45933,28,811,14.9,RENT
885,43,75574,3,616,28.5,OWN
886,47,120144,18,713,23.7,MORTGAGE
887,44,29518,1,816,33.1,RENT
888,53,56303,13,670,26.0,MORTGAGE
889,47,37177,15,688,15.3,MORTGAGE
890,44,34637,4,626,22.0,MORTGAGE
891,24,90011,28,562,25.6,OWN
892,70,25513,10,723,23.9,OWN
893,65,75132,0,738,23.3,RENT
894,31,70443,19,762,21.2,RENT
895,28,40121,22,705,18.4,RENT
896,31,60073,6,696,9.6,RENT
897,49,41375,10,636,10.2,MORTGAGE
898,25,82367,10,624,22.1,MORTGAGE
899,53,38972,8,605,16.4,RENT
900,69,111020,11,607,24.2,RENT
901,29,83838,19,779,47.4,MORTGAGE
902,41,72046,10,780,17.3,RENT
903,57,19468,24,634,43.0,OWN
904,23,45090,25,460,26.0,OTHER
905,47,51231,26,737,9.7,OWN
906,39,44787,19,597,22.2,MORTGAGE
907,55,51661,23,573,20.9,RENT
908,31,49664,20,606,29.5,RENT
909,44,68918,20,691,4.0,RENT
910,62,40719,1,619,29.5,RENT
911,59,48269,24,834,35.0,RENT
912,39,91114,10,706,26.0,MORTGAGE
913,27,60737,15,633,10.9,MORTGAGE
914,32,78333,9,711,35.9,MORTGAGE
915,28,66216,12,555,21.1,MORTGAGE
916,63,57105,26,691,26.9,MORTGAGE
917,28,50701,25,683,4.2,MORTGAGE
918,43,30478,9,809,14.6,OWN
919,54,64419,3,788,29.8,RENT
920,65,75170,29,635,6.4,MORTGAGE
921,61,48537,2,750,17.3,MORTGAGE
922,65,65891,5,606,3.1,MORTGAGE
923,67,54298,8,593,27.3,MORTGAGE
924,52,89964,25,568,23.9,OWN
925,53,84842,10,716,8.4,OWN
926,56,82689,17,595,9.6,RENT
927,66,22017,7,707,30.1,RENT
928,45,49833,11,707,33.7,MORTGAGE
929,35,44595,7,850,23.6,RENT
930,64,58452,3,653,12.1,MORTGAGE
931,48,58641,26,680,25.7,MORTGAGE
932,66,31770,20,663,26.8,RENT
933,51,57786,21,849,4.3,MORTGAGE
934,46,166152,16,813,27.1,RENT
935,66,48901,2,801,13.5,MORTGAGE
936,26,64976,3,616,10.7,RENT
937,41,58230,29,683,24.6,MORTGAGE
938,25,38387,1,533,12.5,RENT
939,30,85595,11,644,20.7,OWN
940,59,61833,15,838,23.9,RENT
941,65,19568,25,643,12.3,RENT
942,30,47823,14,527,17.0,MORTGAGE
943,60,67645,19,633,27.1,MORTGAGE
944,27,34285,25,757,11.0,RENT
945,51,63131,22,659,21.4,RENT
946,40,48901,11,782,6.0,MORTGAGE
947,48,46932,21,763,14.2,MORTGAGE
948,22,25577,17,715,24.7,RENT
949,51,31932,11,774,9.9,MORTGAGE
950,34,47741,13,767,19.0,RENT
951,52,62161,4,675,26.2,MORTGAGE
952,35,68923,1,587,38.7,MORTGAGE
953,67,67158,9,763,12.0,RENT
954,41,41561,24,747,26.7,OWN
955,58,34822,22,652,20.9,MORTGAGE
956,68,96999,26,761,21.3,RENT
957,48,121791,21,615,20.7,OTHER
958,48,66293,6,731,16.3,MORTGAGE
959,45,52078,26,666,43.2,OWN
960,56,68827,26,608,1,RENT
961,40,38130,12,586,30.6,OWN
962,63,89180,2,826,45.1,RENT
963,48,26985,27,725,26.1,MORTGAGE
964,48,110940,14,585,34.1,MORTGAGE
965,38,53170,21,609,14.4,MORTGAGE
966,55,62638,26,836,27.8,RENT
967,25,83829,12,583,26.2,RENT
968,28,70769,7,658,20.7,RENT
969,42,33642,5,828,23.3,OWN
970,23,49172,12,712,21.7,OWN
971,68,97968,7,647,25.3,MORTGAGE
972,29,32770,3,603,9.0,RENT
973,35,55111,26,594,13.0,RENT
974,62,34617,10,646,37.2,RENT
975,44,50085,10,662,8.3,OWN
976,55,60758,0,687,16.3,MORTGAGE
977,30,119614,30,707,20.7,OTHER
978,47,30185,16,676,28.7,RENT
979,35,35250,25,688,33.1,MORTGAGE
980,34,33623,13,591,13.2,MORTGAGE
981,60,51668,9,560,28.7,OTHER
982,37,119841,11,609,35.1,RENT
983,42,38589,18,667,32.3,RENT
984,64,16613,25,634,40.8,OWN
985,39,64805,1,779,17.5,RENT
986,58,109202,27,651,44.0,RENT
987,52,64540,2,805,36.9,MORTGAGE
988,25,46605,19,606,9.9,OWN
989,28,136190,4,707,41.9,MORTGAGE
990,22,23140,17,743,40.4,RENT
991,46,99203,25,620,21.2,RENT
992,48,19041,30,683,12.3,OWN
993,36,126095,15,650,36.3,MORTGAGE
994,26,24695,22,573,32.4,RENT
995,70,66760,18,728,2.5,MORTGAGE
996,45,52501,7,480,13.7,MORTGAGE
997,58,77167,30,558,18.6,MORTGAGE
998,44,61792,14,810,19.8,RENT
999,45,53732,8,650,33.8,MORTGAGE
1000,55,38480,15,588,8.2,MORTGAGE
